date,open,high,low,close,volume
1990-12-19,96.05,99.98,95.79,99.98,1260
1990-12-20,104.3,104.39,99.98,104.39,197
1990-12-21,109.07,109.13,103.73,109.13,28
1990-12-24,113.57,114.55,109.13,114.55,32
1990-12-25,120.09,120.25,114.55,120.25,15
1990-12-26,125.27,125.27,120.25,125.27,100
1990-12-27,125.27,125.28,125.27,125.28,66
1990-12-28,126.39,126.45,125.28,126.45,108
1990-12-31,126.56,127.61,126.48,127.61,78
1991-01-02,127.61,128.84,127.61,128.84,91
1991-01-03,128.84,130.14,128.84,130.14,141
1991-01-04,131.27,131.44,130.14,131.44,420
1991-01-07,131.99,132.06,131.45,132.06,217
1991-01-08,132.62,132.68,132.06,132.68,2926
1991-01-09,133.3,133.34,132.68,133.34,5603
1991-01-10,133.93,133.97,133.34,133.97,9990
1991-01-11,134.61,134.61,134.51,134.6,13327
1991-01-14,134.11,135.19,134.11,134.67,12530
1991-01-15,134.21,134.74,134.19,134.74,1446
1991-01-16,134.19,134.74,134.14,134.24,509
1991-01-17,133.67,134.25,133.65,134.25,658
1991-01-18,133.7,134.25,133.67,134.24,3004
1991-01-21,133.7,134.24,133.66,134.24,2051
1991-01-22,133.72,134.24,133.66,133.72,354
1991-01-23,133.17,133.72,133.14,133.17,1095
1991-01-24,132.61,133.17,132.57,132.61,1857
1991-01-25,132.05,132.07,132.03,132.05,3447
1991-01-28,131.46,131.55,131.46,131.46,5107
1991-01-29,130.95,130.97,130.95,130.95,1387
1991-01-30,130.44,130.95,130.41,130.44,527
1991-01-31,129.93,130.46,129.93,129.97,510
1991-02-01,129.5,129.97,129.45,129.51,345
1991-02-04,129.05,129.58,129.05,129.05,553
1991-02-05,128.56,128.58,128.53,128.58,8562
1991-02-06,129.13,129.15,128.06,129.14,6641
1991-02-07,129.74,129.79,129.14,129.79,2133
1991-02-08,130.36,130.39,129.79,130.38,1234
1991-02-11,130.92,130.97,130.39,130.97,9317
1991-02-12,131.54,131.56,130.97,131.35,3774
1991-02-13,131.93,131.93,131.35,131.92,1152
1991-02-14,132.53,132.53,132.3,132.53,3624
1991-02-19,133.12,133.14,133.08,133.13,1748
1991-02-20,133.63,133.67,133.13,133.67,876
1991-02-21,134.24,134.28,133.67,134.28,3220
1991-02-22,134.85,134.87,134.28,134.87,3427
1991-02-25,134.37,134.87,134.33,134.4,810
1991-02-26,133.9,134.44,133.9,133.93,1094
1991-02-27,133.44,133.98,133.44,133.47,214
1991-02-28,132.99,133.52,132.98,133.01,2258
1991-03-01,132.53,132.53,132.47,132.53,7124
1991-03-04,132.09,132.09,131.98,131.99,2518
